Joueur,1stIn,1stWon,2ndWon,SvGms,ace,bpFaced,bpSaved,df,ht,minutes,rank,rank_points,surface_winrate,surface_winrate_2y_ago,surface_winrate_lastear,svpt,total_games
Gilles Muller,52,41,16,13,14,6,4,4,193,113,56,956,0.4676789900583663,0.45576309345894744,0.3113557973687724,84,27
Gilles Simon,47,32,18,12,4,8,5,2,183,112,33,1579,0.5308557701272647,0.5405758192004584,0.4138685620759748,81,25
Go Soeda,42,28,16,12,3,7,4,3,178,100,106,552,0.2309630552096305,0.23498858447488583,0.18525114155251143,74,25
Grigor Dimitrov,51,37,16,13,7,6,4,4,188,112,34,2003,0.5688074180146845,0.5762199110853573,0.49486740773677185,81,26
Guido Pella,55,38,15,13,5,8,5,2,185,120,65,940,0.4290928781286541,0.4380526151930262,0.2639921722113503,86,27
Guillermo Canas,44,31,17,12,5,7,4,2,185,116,40,1191,0.5227454838234543,0.6779201995059176,0.28962996571889493,76,24
Guillermo Coria,52,35,14,13,3,9,5,6,175,118,48,1773,0.5107452401250355,0.4078719723183391,0.16781045751633986,83,26
Guillermo Garcia Lopez,48,33,16,12,4,8,5,4,188,113,62,840,0.4257267213178255,0.43420129271636254,0.2474302159409986,81,25
Henri Laaksonen,50,34,17,13,5,8,5,4,185,109,141,473,0.3269427062530511,0.33035714285714285,0.30995484400656814,85,26
Horacio Zeballos,50,35,16,13,5,7,4,3,188,108,74,729,0.35078034424056237,0.334527278614214,0.3118226600985221,81,25
Hubert Hurkacz,54,40,16,14,10,6,4,3,196,116,43,2039,0.5238543353849476,0.4334026203073822,0.6011531805704738,86,27
Hyeon Chung,46,32,14,12,3,7,4,3,188,113,70,943,0.48454039848429287,0.3523006424792139,0.39015953182619845,75,24
Hyung Taik Lee,53,36,16,13,3,8,4,2,180,109,64,636,0.3925592258925592,0.36002769536303064,0.31266504599837935,84,28
Igor Andreev,51,36,16,13,5,6,4,3,185,113,59,921,0.47544702454456395,0.5107441966174352,0.3099666711265262,82,26
Igor Kunitsyn,46,30,15,12,3,8,5,2,180,101,85,666,0.3523869433753154,0.3374567419560417,0.06493055555555555,76,24
Igor Sijsling,48,35,16,12,8,7,4,2,190,95,91,625,0.3361690434674305,0.3709707962571481,0.25132008448540705,80,26
Illya Marchenko,49,34,17,13,5,8,5,4,185,117,108,561,0.3487655981067126,0.35731453954345527,0.26070352839931155,83,27
Ilya Ivashka,51,36,15,13,6,7,4,3,193,118,88,790,0.4744546816637609,0.2779573051312182,0.5311404632056806,82,26
Ivan Dodig,47,33,16,12,8,7,4,3,183,109,80,784,0.4141181377742341,0.4298633438230085,0.2996280697649479,79,25
Ivan Ljubicic,49,38,17,13,12,5,4,2,193,114,20,1834,0.6050154225639952,0.6300941084906734,0.44211598074132696,82,27
Ivo Karlovic,56,46,15,14,20,4,3,3,208,109,55,1045,0.5142773784253721,0.5202769510833367,0.20477804359383306,85,29
Ivo Minar,46,31,16,12,5,7,4,2,183,94,101,508,0.2922193336162988,0.28728894604933386,0.3419834307992202,78,25
Jack Sock,49,36,18,13,7,7,4,4,185,112,73,1255,0.5250900692581295,0.5403829486408507,0.18490384615384614,83,27
James Blake,48,35,18,13,6,7,4,3,185,100,41,1526,0.5819162580718418,0.606351872588816,0.3580958323659159,83,27
James Duckworth,51,36,20,14,8,8,5,3,183,116,147,596,0.33622975603618005,0.28573781291172595,0.3285337850555241,90,28
Jan Hajek,45,29,12,11,3,8,4,2,180,90,101,528,0.2820144043831742,0.2579617031997984,0.2262755102040816,73,23
Jan Hernych,54,36,15,13,3,9,5,2,190,106,112,514,0.33837105988640515,0.3412168253589061,0.12559722885809843,85,26
Jan Lennard Struff,48,35,18,13,9,7,4,4,193,106,62,950,0.4241440753468244,0.43570964316118754,0.24183862433862435,83,26
Janko Tipsarevic,47,34,18,13,7,7,4,3,180,117,70,1383,0.48660089095579917,0.4895659909132878,0.3687874251497006,82,27
Jannik Sinner,50,35,17,13,5,7,4,2,188,121,40,2178,0.6426702551705523,0.47396331738437003,0.6805526461596785,82,26
Jared Donaldson,43,31,20,13,6,7,4,4,188,109,89,706,0.3973874495839541,0.24505108556832694,0.39188218390804597,81,26
Jarkko Nieminen,53,36,14,13,3,7,4,2,185,102,48,963,0.46156480471849026,0.4716499916587549,0.3009363276927644,82,26
Jaume Munar,54,37,14,13,4,9,5,3,183,125,100,724,0.32528826775035513,0.2956786107403507,0.25137332931712947,85,26
Jeremy Chardy,50,36,16,13,8,7,4,4,188,109,55,983,0.45801649190935956,0.45382352482922306,0.1729371386254237,82,26
Jerzy Janowicz,54,40,16,14,9,7,4,5,203,112,71,1067,0.5104795198832266,0.531850160662946,0.359533231861999,86,29
